as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2015",Bob Chiarelli,Ottawa West-Nepean,"Salary - Legislative Assembly of Ontario, Minister
Pension - OMERS
Investment income.","Policy and Project Consulting Inc. - 100% interest (inactive)
(Pursuant to section 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Chiarelli is not required to place Policy and Project Consulting Inc. in trust on the condition that it remains inactive).",Nil.,Nil.,Director - Policy and Project Consulting Inc.
"September 01, 2015",Bob Delaney,Mississauga-Streetsville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment and Registered Accounts:
Shares - Cenovus Energy Inc., Encana Corp., Rona Inc., Suncor Energy Inc., Toronto-Dominion Bank, Bell Canada Enterprises.",Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2015",Brad Duguid,Scarborough Centre,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgages, Line of Credit and Loan - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2015",Catherine Fife,Kitchener-Waterloo,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Tangerine
Line of Credit - President's Choice Financial.",Nil.,Nil.
"September 01, 2015",Charles Sousa,Mississauga-South,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Shares - Bank of Montreal, Bank of Nova Scotia, Canadian Imperial Bank of Commerce, Royal Bank of Canada, Toronto-Dominion Bank (Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Sousa is not required to place these equities in trust on the condition that he does not buy, sell or trade same).",Line of Credit - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2015",Cheri DiNovo,Parkdale-High Park,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Mortgage Intelligence
Line of Credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2015",Chris Ballard,Newmarket-Aurora,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","CSB Communications Inc. - 50% ownership (inactive)
CSB Communications - sole proprietorship (inactive).","Mortgage and Line of Credit - Toronto-Dominion Bank
Line of Credit - Royal Bank of Canada.",Nil.,CSB Communications Inc. - Director.
"September 01, 2015",Cindy Forster,Welland,"Salary - Legislative Assembly of Ontario
Pension - Healthcare of Ontario Pension Plan (HOOPP)
Rental income - investment property.","Investment property - Suite, 330 Prince Charles Drive, Welland ON - 50% interest.",Mortgages and Line of Credit - Royal Bank of Canada.,Ms. Forster appeared as the local provincial member on a billboard funded by the campaign of federal candidate Malcolm Allen throughout the Fall 2015 federal election campaign.,Nil.
"September 01, 2015",Cristina Martins,Davenport,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Shares - Eli Lilly & Co., Bank of Nova Scotia, Rogers Communications, Royal Bank of Canada, Toronto-Dominion Bank, Haliburton Co., Kellogg Co., Merck KGAA, JP Morgan Chase & Co., Symantec Corp., Teradyne Inc., Vodafone Group.",Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2015",Daiene Vernile,Kitchener Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Rental income - recreational property.","Partyboat Productions - multimedia products - 5% interest
Investment and registered accounts:
Sector-specific fund - Trimark Resource Fund.","Mortgage - T. Matlock.
Line of Credit - Toronto-Dominion Bank.",Nil.,Nil.
"September 01, 2015",Dave Levac,Brant,"Salary - Legislative Assembly of Ontario, Speaker.",Nil.,Mortgage and Line of Credit - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2015",David Orazietti,Sault Ste. Marie,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage and Line of Credit - Northern Credit Union.,Nil.,Nil.
"September 01, 2015",David Zimmer,Willowdale,"Salary - Legislative Assembly of Ontario, Minister
Pension - Immigration and Refugee Board of Canada.",Nil.,"Guarantee - The David Zimmer Campaign
Lines of Credit - Bank of Montreal, Mennonite Savings and Credit Union.",Nil.,"Honorary Member - Capital Campaign Cabinet Committee, St John's Rehabilitation, Sunnybrook Hospital, Toronto."
"September 01, 2015",Deborah Matthews,London North Centre,"Salary - Legislative Assembly of Ontario, Minister
Rental income - tenant
Annuity and CPP Survivor Benefit.",Wynnwood Pinnacle Management Groups Corp. - golf course in Texas - 0.08% interest.,Nil.,Nil.,Nil.
"September 01, 2015",Dipika Damerla,Mississauga East-Cooksville,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Shares - Bank of Nova Scotia, Royal Bank of Canada, Toronto-Dominion Bank, Berkshire Hathaway, Enbridge Inc.
(Pursuant to section 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Damerla is not required to place these equities in trust on the condition that she does not buy, sell or trade same).",Mortgage - Toronto-Dominion Bank.,Nil.,Nil.
"September 01, 2015",Eleanor McMahon,Burlington,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
CPP Survivor Benefit.","Investment and registered accounts:
Shares - Firm Capital.",Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2015",Eric Hoskins,St. Paul's,"Salary - Legislative Assembly of Ontario, Minister.","Investment and Registered Accounts:
Shares - CI Financial Corp. (Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Hoskins is not required to place this equity in trust on the condition that he does not buy, sell, or trade same).","Mortgages and Lines of Credit - Canadian Imperial Bank of Commerce, Bank of Nova Scotia, Toronto-Dominion Bank
Loan - Toronto-Dominion Bank.",Nil.,Nil.
"September 01, 2015",Ernie Hardeman,Oxford,Salary - Legislative Assembly of Ontario.,"Hardeman Feeds Ltd. (inactive) - 51% interest
Investment and registered accounts:
Sector-specific fund - Sentry Select REIT Fund.",Nil.,Nil.,President - Hardeman Feeds Ltd.
"September 01, 2015",France Gélinas,Nickel Belt,Salary - Legislative Assembly of Ontario.,"Investment and Registered Accounts:
Sector specific funds - Front Street Special Opportunities Class B, Stone & Co Resource Plus Class
Limited Partnership Units - Front Street FT NAT CEE14I LP.",Nil.,Nil.,Nil.
"September 01, 2015",Gila Martow,Thornhill,"Salary - Legislative Assembly of Ontario
Income - sale of spectacles and contact lenses business.","Dr. Gila Gladstone-Martow, Optometrist - 100% interest in optometry practice
Investment and registered accounts:
Shares - Royal Bank of Canada, Bank of Montreal, Telus Corp.",Line of Credit - Canadian Imperial Bank of Commerce.,"Ms. Martow was a member of a delegation to Taiwan and accepted the following from the Taipei Economic and Cultural Office in March 2015: airfare, accommodation and meals and transportation.",Nil.
"September 01, 2015",Gilles Bisson,Timmins-James Bay,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage and Line of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2015",Glen Murray,Toronto Centre,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2015",Glenn Thibeault,Sudbury,"Salary - Legislative Assembly of Ontario
Salary - House of Commons (resigned January 5, 2015).",Nil.,"Mortgages- Bank of Nova Scotia, Toronto-Dominion Bank
Lines of Credit - Bank of Nova Scotia, Northern Credit Union.",Nil.,Nil.
"February 05, 2015",Glenn Thibeault,Sudbury,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Lines of Credit - Northern Credit Union, Bank of Nova Scotia
Mortgages - Toronto-Dominion Bank, Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2015",Grant Crack,Glengarry-Prescott-Russell,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
Rental income - investment property.","Investment property - 268 Main Street South, Alexandria ON.","Mortgages - Bank of Nova Scotia, Investor's Group, Royal Bank of Canada
Lines of Credit - Bank of Nova Scotia, Royal Bank of Canada.",Nil.,Director - 2265731 Ontario Ltd.
"September 01, 2015",Granville Anderson,Durham,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Line of Credit - Toronto Dominion Bank.,Nil.,Nil.
"September 01, 2015",Han Dong,Trinity-Spadina,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgages and Lines of Credit - Toronto-Dominion Bank, Canadian Imperial Bank of Commerce.",Nil.,Nil.
"September 01, 2015",Harinder Malhi,Brampton-Springdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2015",Harinder Takhar,Mississauga Erindale,"Salary - Legislative Assembly of Ontario
Pension - OMERS
Directors Fees - Data Group Ltd.
Investment income.","BKST Industries Inc. - preferred shares - 60% interest
Investment and registered Accounts:
Shares - Bank of Nova Scotia, CCL Industries, Manulife Financial Corp, TransCanada Corp, Merge Healthcare Inc., Bell Canada Enterprises Inc., Dream Office REIT, Intel Corp.",Line of Credit - Toronto-Dominion Bank.,Nil.,"Directorships - Data Group Ltd., BKST Industries Inc., KST Industries Inc."
"September 01, 2015",Helena Jaczek,Oak Ridges-Markham,"Salary - Legislative Assembly of Ontario, Minister.
Pension - OMERS
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2015",Indira Naidoo-Harris,Halton,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Vacant lots - Pearse Island, British Columbia
Investment and registered accounts:
Shares - Netflix Inc.",Mortgage and Line of Credit - Toronto-Dominion Bank.,Nil.,Director - Randira Communication Inc.
"September 01, 2015",Jack MacLaren,Carleton-Mississippi Mills,"Salary - Legislative Assembly of Ontario
Income - cash crops
Rental income - investment property.","Family farm - cash crop farming - 50% interest
Maple Terrace Builders Ltd. - construction company - 100% interest (inactive).
Investment Properties: L24 C2 Torbolton Township, City of Ottawa
L25 C2 Torbolton Township, City of Ottawa
L25 C1 Torbolton Township, City of Ottawa
L20 C2 Torbolotn Township, City of Ottawa
L21 + L22 C9 Fitzroy Township, City of Ottawa
L18 C2 Torbolton Township, City of Ottawa.","Mortgages - Northern Credit Union, Farm Credit Corp
Loans - Farm Credit Corp
Line of Credit - Farm Credit Corp
Farm tile drainage loan - City of Ottawa.",Nil.,Director - Maple terrace Builders Ltd. (inactive).
"September 01, 2015",Jagmeet Singh,Bramalea-Gore-Malton,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Equitable Trust
Line of Credit - Bank of Montreal.","Mr. Singh was a member of a delegation to Taiwan and accepted the following from the Taipei Economic and Cultural Office in March 2015: airfare, accommodation and meals and transportation.",Nil.
"September 01, 2015",James Bradley,St. Catharines,"Salary - Legislative Assembly of Ontario, Minister
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2015",Jeff Leal,Peterborough,"Salary - Legislative Assembly of Ontario, Minister
Rental income - investment property.","Investment property - 666 Montrose Street, Peterborough, ON. - 50% interest.",Nil.,Nil.,Nil.
"September 01, 2015",Jeff Yurek,Elgin-Middlesex-London,"Salary - Legislative Assembly of Ontario
Dividends - Yurek Pharmacy.","Yurek Pharmacy Ltd. - 25% interest (The remaining 75% interest is held by the member's brother, Peter Yurek. Yurek Pharmacy Ltd. has a contract with the Southwest Community Access Centre to supply medical supplies and IVs. This contract runs from January 1, 2013 until January 1, 2019.)
Yurek Home Healthcare (wholly owned by Yurek Pharmacy Ltd.) - 25% interest (The remaining 75% interest is held by the member's brother, Peter Yurek.)
Yurek Specialties Ltd. - 25% interest (The remaining 75% interest is held by the member's brother, Peter Yurek.)
Registered and investment accounts:
Shares - Urthecast Corp., Bank of Nova Scotia, British Petroleum, Cenovus Energy Inc., Stryker Corp., Wells Fargo, Columbus Gold Corp.
Sector-specific funds - Franklin Bissett Energy Corporate Class.","Mortgages and Line of Credit - Bank of Nova Scotia
Guarantor on loan to Yurek Pharmacy Ltd. from Bank of Nova Scotia.",Nil.,"Director - Yurek Pharmacy Ltd.
Director - Yurek Home Healthcare."
"September 01, 2015",Jennifer French,Oshawa,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Toronto-Dominion Bank
Loans and Line of Credit - Oshawa Community Credit Union Ltd.",Nil.,Nil.
"September 01, 2015",Jim McDonell,Stormont-Dundas-South Glengarry,Salary - Legislative Assembly of Ontario.,"Investment and Registered Accounts:
Sector Specific Fund - Front Street Special Opportunities Class Y.",Loan - B2B Trust.,Nil.,Nil.
"September 01, 2015",Jim Wilson,Simcoe-Grey,"Salary - Legislative Assembly of Ontario, Leader of the Official Opposition.","Investment and Registered Accounts:
Shares - Bell Canada Enterprises Inc., Finning International Inc., Potash Corp of Saskatchewan Inc., Sun Life Financial, Cenovus Energy, Dollarama Inc., Thomson Reuters Corp., CI Financial Corp., Crescent Point Energy, TransCanada Corp., Emera Inc., TransCanada Corp., Branch Banking and Trust Co., JP Morgan Chase & Co.",Nil.,Nil.,Nil.
"September 01, 2015",Joe Dickson,Ajax-Pickering,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","L.J. Dickson Printing Ltd. - 100% interest
870621 Ontario Ltd. - Real estate holding company - 50% interest
Government contracts: 870621 Ontario Ltd. is paid by Hydro One through a Power Purchase agreement with the government of Ontario. The Integrity Commissioner has exercised her discretion under section 7(4) of the Members' Integrity Act, 1994 to allow Mr. Dickson to retain his interest in 870621 Ontario Ltd.",Lines of Credit - Royal Bank of Canada.,Nil.,"Director - 870621 Ontario Ltd.
President - L.J. Dickson Printing Ltd.
Ex-Officio Member - Ajax Pickering Provincial Liberal Association."
"September 01, 2015",John Fraser,Ottawa South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgages - Toronto-Dominion Bank, Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2015",John Vanthof,Timiskaming-Cochrane,"Salary - Legislative Assembly of Ontario
Rental income - agricultural property.","Agricultural Property: Lots 8 and 9 Concession 1, Evanturel - 50% interest
Registered and Investment Accounts:
Sector-specific fund - Scotia Private Real Estate Income Pool
Shares - Gay Lea Foods.",Mortgages and Lines of Credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2015",John Yakabuski,Refrew- Nipissing-Pembroke,Salary - Legislative Assembly of Ontario.,"PJ WYE Holdings Ltd. - 100% interest (inactive)
969041 Ontario Limited - 58% interest (inactive)
Investment and Registered Accounts:
Shares - Advantage Oil and Gas, CI Financial Corp., Suncor Energy
Sector-specific fund - Front Street Growth.",Nil.,Nil.,"President - 969041 Ontario Ltd. (inactive)
President - PJ Wye Holdings Ltd. (inactive)."
"September 01, 2015",Julia Munro,York-Simcoe,"Salary - Legislative Assembly of Ontario
Pension - Ontario Teachers' Pension Plan
Sales and Boarding Income - Coquetel Kennels.","Sornum Inc. - Consulting/Management company - 50% interest
Coquetel Kennels - 50% interest
Investment and Registered Accounts:
Shares - Aecon Group Inc., Manulife Financial Corp, PotashCorp, Atrium Mortgage Investment Corporation, Canexus Corp, Inter Pipeline Ltd., Bank of Montreal, Canadian Imperial Bank of Commerce, Firm Capital Mortgage Investment Corp, Great West Life Co Inc., Mcan Mortgage Corp, Redknee Solutions Inc., Silver Wheaton Corp, Vereit Inc., Calfrac Well Services, Birchcliff Energy Ltd.
Preferred Shares - Brookfield Office Properties Inc., Power Corp, Royal Bank
Trust Units - Canadian Tire REIT T/U, Brookfield Soundvest Equity T/U, H & R REIT-Stapled Unit, Riocan R/Estate Investment T/U
Closed-end funds - Voya High Income Floating Rate Fund.",Nil.,Nil.,Director - Sornum Inc.
"September 01, 2015",Kathleen Wynne,Don Valley West,"Salary - Legislative Assembly of Ontario, Premier.","Investment property - 556 Priddle Road, Newmarket, ON.","Mortgages - Alterna Savings, Bank of Nova Scotia
Line of Credit - Alterna Savings.","Crystal vase - Women of Influence conference
China vase - Consul General of China
Handmade rug - Consul General of Afghanistan
Premier Wynne received a leather tote bag from Magna International Inc. as a token thanks for her speaking at the Automotive Parts and Manufacturers Association Roundtable.",Nil.
